CD,2021 kg P feed/year
2401,3725.5
2402,4899.6
2403,57.6
2404,0.0
2405,39804.0
2406,50794.4
2407,183374.068
2408,117074.0
2409,243200.44999999998
2410,313596.75
2411,167995.80000000002
2412,390091.0
2413,123340.1
2414,555220.15
2415,118028.95
2416,215114.5092
2417,294370.83280000003
2418,235050.5404
2419,1613093.488
2420,43240.6272
2421,13457.65
2422,102401.0956
2423,0.0
2425,44261.25
2426,1979939.5632
2427,1074969.994
2428,186769.30000000002
2429,492864.14599999995
2430,321395.29999999993
2431,643024.9500000001
2432,875738.5800000001
2433,1386396.5620000002
2434,262322.25
2435,102905.95
2436,9904.35
2437,323184.2608
2438,569617.4364
2439,1228065.4568
2440,355206.1
2441,382519.5
2442,577527.95
2443,0.0
2444,1042337.2620000001
2445,124263.1456
2446,1270782.6095999999
2447,746767.0819999999
2448,1148103.2999999998
2449,2295110.4248
2450,1059177.5728000002
2451,762792.7944
2452,637196.1728
2453,369861.7604
2454,3595222.2824
2455,1159733.7736
2456,874563.4072
2457,242040.63559999998
2458,0.0
2459,26225.45
2460,91628.9256
2461,196563.578
2462,600722.8708000001
2463,577382.5852000001
2464,12722.3
2465,0.0
2466,0.0
2467,27684.3
2468,101675.74799999999
2469,421457.75
2470,179734.8
2471,195049.8172
2472,53221.65
2473,50499.6468
2474,300978.472
2475,58529.49840000001
2476,132130.232
2477,0.0
2478,14161.449999999999
2479,111089.87800000001
2480,88005.7
2481,0.0
2482,100955.00000000001
2483,72135.60560000001
2484,180204.6
2485,235969.05
2486,52204.0
2487,187190.95
2488,76431.70000000001
2489,39968.262
2490,0.0
2491,109331.4936
2492,191298.7
2493,350839.76440000004
2494,170624.09999999998
2495,16161.55
2496,0.0
2497,30.0
2498,0.0
2499,7123.700000000001
