DGUID,CD,REF_DATE,Animal,Imports (kg P live),Exports (kg P live)
2007A0003Total Quebec,Total Quebec,2007,Hogs,51200.326177038354,26691.77939628272
2007A0003Total Quebec,Total Quebec,2007,Sheep,4164.408695652173,14987.417391304345
2007A0003Total Quebec,Total Quebec,2007,Cattle,1115367.627484596,801575.0929870141
2008A0003Total Quebec,Total Quebec,2008,Hogs,388756.25928095146,39509.46765518366
2008A0003Total Quebec,Total Quebec,2008,Sheep,6591.791304347825,22559.06956521739
2008A0003Total Quebec,Total Quebec,2008,Cattle,1224035.0810654708,1037835.2308285789
2009A0003Total Quebec,Total Quebec,2009,Hogs,327414.46547049703,38593.9184938336
2009A0003Total Quebec,Total Quebec,2009,Sheep,3340.434782608695,17726.573913043478
2009A0003Total Quebec,Total Quebec,2009,Cattle,910853.0378801409,742967.927010812
2010A0003Total Quebec,Total Quebec,2010,Hogs,358754.41753209545,41763.12712927613
2010A0003Total Quebec,Total Quebec,2010,Sheep,2226.95652173913,18439.199999999993
2010A0003Total Quebec,Total Quebec,2010,Cattle,865676.6807734851,758840.7011293668
2011A0003Total Quebec,Total Quebec,2011,Hogs,450872.74853562535,31903.36693012156
2011A0003Total Quebec,Total Quebec,2011,Sheep,2405.1130434782604,15187.843478260867
2011A0003Total Quebec,Total Quebec,2011,Cattle,887654.3680145609,708780.4135246942
2012A0003Total Quebec,Total Quebec,2012,Hogs,541934.6766606742,25987.51081062882
2012A0003Total Quebec,Total Quebec,2012,Sheep,2895.043478260869,13896.208695652173
2012A0003Total Quebec,Total Quebec,2012,Cattle,610491.3122521052,737473.505200543
2013A0003Total Quebec,Total Quebec,2013,Hogs,592501.1611106242,18663.117519828287
2013A0003Total Quebec,Total Quebec,2013,Sheep,2805.965217391303,14007.556521739129
2013A0003Total Quebec,Total Quebec,2013,Cattle,625143.1037461556,862624.2242122246
2014A0003Total Quebec,Total Quebec,2014,Hogs,464887.69339013787,17325.00720708588
2014A0003Total Quebec,Total Quebec,2014,Sheep,2271.4956521739127,14408.408695652173
2014A0003Total Quebec,Total Quebec,2014,Cattle,479846.17143015465,769829.5447499048
2015A0003Total Quebec,Total Quebec,2015,Hogs,494114.8396947746,17184.153489955104
2015A0003Total Quebec,Total Quebec,2015,Sheep,1848.373913043478,14742.45217391304
2015A0003Total Quebec,Total Quebec,2015,Cattle,415744.58364368364,730147.609453518
2016A0003Total Quebec,Total Quebec,2016,Hogs,456436.47036229103,15986.896894343477
2016A0003Total Quebec,Total Quebec,2016,Sheep,1380.7130434782605,13539.89565217391
2016A0003Total Quebec,Total Quebec,2016,Cattle,297309.2690667753,566535.9377699536
2017A0003Total Quebec,Total Quebec,2017,Hogs,534469.4296527429,152896.7099454612
2017A0003Total Quebec,Total Quebec,2017,Sheep,1046.669565217391,12693.65217391304
2017A0003Total Quebec,Total Quebec,2017,Cattle,304024.6735015484,484730.1019281715
2018A0003Total Quebec,Total Quebec,2018,Hogs,515947.16585004545,164657.9953258813
2018A0003Total Quebec,Total Quebec,2018,Sheep,779.4347826086955,12159.18260869565
2018A0003Total Quebec,Total Quebec,2018,Cattle,291814.8472565063,415744.58364368364
2019A0003Total Quebec,Total Quebec,2019,Hogs,572640.7869951843,148600.67157297244
2019A0003Total Quebec,Total Quebec,2019,Sheep,779.4347826086955,13361.73913043478
2019A0003Total Quebec,Total Quebec,2019,Cattle,238702.10309057313,497550.41948546574
2020A0003Total Quebec,Total Quebec,2020,Hogs,691239.6168193005,178320.80588756688
2020A0003Total Quebec,Total Quebec,2020,Sheep,801.7043478260867,17281.18260869565
2020A0003Total Quebec,Total Quebec,2020,Cattle,214892.94191274102,429785.88382548204
2021A0003Total Quebec,Total Quebec,2021,Hogs,613840.4992559372,375656.863587789
2021A0003Total Quebec,Total Quebec,2021,Sheep,1358.4434782608691,16679.904347826083
2021A0003Total Quebec,Total Quebec,2021,Cattle,239312.59440282523,435890.7969480032
