CD,BeefCow,BeefCalf,DairyCow,DairyHeifer
2401,0.0,0.0,90.0,0.0
2402,324.0,0.0,0.0,36.0
2403,4.0,0.0,0.0,0.0
2404,0.0,0.0,0.0,0.0
2405,1306.0,1022.0,170.0,108.0
2406,1623.0,941.0,462.0,575.0
2407,3322.0,3188.0,3615.0,2381.0
2408,1991.0,1425.0,1992.0,1408.0
2409,1972.0,2390.0,3873.0,1908.0
2410,822.0,2689.0,5509.0,2773.0
2411,521.0,1354.0,3354.0,1268.0
2412,2557.0,3735.0,6240.0,2599.0
2413,1096.0,2254.0,2810.0,1338.0
2414,2640.0,5719.0,12667.0,5644.0
2415,920.0,677.0,295.0,194.0
2416,1020.0,935.0,455.0,319.0
2417,2183.0,2984.0,4844.0,2017.0
2418,464.0,1931.0,4506.0,2006.0
2419,3361.0,10054.0,15818.0,6717.0
2420,0.0,0.0,893.0,240.0
2421,360.0,0.0,307.0,0.0
2422,0.0,0.0,0.0,0.0
2423,0.0,0.0,0.0,0.0
2425,627.0,1086.0,957.0,567.0
2426,10405.0,8217.0,10863.0,4294.0
2427,4775.0,6329.0,8065.0,3199.0
2428,1656.0,2367.0,1138.0,676.0
2429,4388.0,4149.0,6795.0,3018.0
2430,1598.0,3910.0,5436.0,2958.0
2431,4195.0,5008.0,6363.0,2828.0
2432,5496.0,9350.0,9514.0,4402.0
2433,6917.0,9738.0,14722.0,6984.0
2434,1273.0,4306.0,5535.0,2422.0
2435,0.0,1294.0,1829.0,693.0
2436,229.0,0.0,215.0,125.0
2437,992.0,2136.0,5818.0,3042.0
2438,785.0,4293.0,7965.0,2984.0
2439,3177.0,13148.0,20822.0,10088.0
2440,1585.0,2286.0,3446.0,1606.0
2441,5938.0,4705.0,4070.0,2720.0
2442,2610.0,4450.0,6893.0,3153.0
2443,0.0,0.0,0.0,0.0
2444,5023.0,7948.0,17747.0,7595.0
2445,2693.0,2426.0,1575.0,1063.0
2446,2320.0,5029.0,7073.0,4631.0
2447,1726.0,2507.0,3865.0,1817.0
2448,930.0,10351.0,8084.0,3037.0
2449,4344.0,11738.0,8397.0,3743.0
2450,726.0,5876.0,12227.0,4934.0
2451,1193.0,2855.0,5672.0,2200.0
2452,1941.0,2812.0,3932.0,1551.0
2453,324.0,2044.0,3463.0,1279.0
2454,3645.0,61184.0,11113.0,5702.0
2455,1829.0,4965.0,5352.0,1873.0
2456,1387.0,4561.0,8611.0,3389.0
2457,0.0,2100.0,2886.0,689.0
2458,0.0,0.0,0.0,0.0
2459,0.0,0.0,901.0,299.0
2460,0.0,1030.0,832.0,560.0
2461,460.0,1296.0,2022.0,887.0
2462,809.0,0.0,788.0,295.0
2463,544.0,1433.0,3349.0,1660.0
2464,0.0,0.0,374.0,187.0
2465,0.0,0.0,0.0,0.0
2466,0.0,0.0,0.0,0.0
2467,0.0,845.0,774.0,361.0
2468,539.0,0.0,2220.0,850.0
2469,4108.0,6427.0,8721.0,3660.0
2470,679.0,1886.0,4772.0,4559.0
2471,1225.0,2003.0,2685.0,1761.0
2472,763.0,811.0,1227.0,749.0
2473,0.0,0.0,476.0,103.0
2474,5815.0,1669.0,4144.0,1804.0
2475,0.0,0.0,257.0,116.0
2476,746.0,1656.0,3468.0,1622.0
2477,0.0,0.0,0.0,0.0
2478,0.0,321.0,395.0,142.0
2479,2642.0,2287.0,1651.0,836.0
2480,2596.0,2088.0,1008.0,916.0
2481,0.0,0.0,0.0,0.0
2482,4098.0,2240.0,324.0,1002.0
2483,2820.0,1873.0,576.0,583.0
2484,6697.0,3916.0,1740.0,1655.0
2485,3177.0,2540.0,2605.0,1260.0
2486,3035.0,955.0,0.0,529.0
2487,7374.0,4506.0,1449.0,1692.0
2488,2532.0,1773.0,990.0,599.0
2489,400.0,340.0,261.0,177.0
2490,0.0,0.0,0.0,0.0
2491,1379.0,1302.0,2354.0,956.0
2492,2710.0,2648.0,4496.0,1837.0
2493,985.0,2513.0,7699.0,2823.0
2494,1716.0,2212.0,4064.0,1733.0
2495,509.0,390.0,231.0,83.0
2496,0.0,0.0,0.0,0.0
2497,0.0,0.0,0.0,0.0
2498,0.0,0.0,0.0,0.0
2499,406.0,241.0,0.0,0.0
