CD,Mink,Horses,Rabbits,Goat,Llamas/alpacas,Bison
2401,0.0,15.0,0.0,0.0,0.0,0.0
2402,0.0,0.0,0.0,0.0,0.0,0.0
2403,0.0,11.0,0.0,0.0,0.0,0.0
2404,0.0,0.0,0.0,0.0,0.0,0.0
2405,0.0,57.0,0.0,185.0,0.0,0.0
2406,0.0,0.0,0.0,0.0,0.0,0.0
2407,0.0,76.0,0.0,0.0,0.0,0.0
2408,0.0,23.0,0.0,0.0,0.0,0.0
2409,0.0,116.0,0.0,528.0,0.0,0.0
2410,0.0,0.0,0.0,0.0,0.0,0.0
2411,0.0,0.0,0.0,466.0,0.0,0.0
2412,0.0,124.0,0.0,398.0,0.0,0.0
2413,0.0,0.0,0.0,0.0,0.0,0.0
2414,0.0,166.0,0.0,1109.0,0.0,0.0
2415,0.0,74.0,0.0,0.0,0.0,0.0
2416,0.0,62.0,0.0,417.0,131.0,0.0
2417,0.0,0.0,0.0,0.0,0.0,80.0
2418,0.0,79.0,0.0,0.0,20.0,0.0
2419,0.0,217.0,6836.0,2093.0,16.0,0.0
2420,0.0,64.0,0.0,482.0,0.0,0.0
2421,0.0,106.0,0.0,0.0,0.0,0.0
2422,0.0,0.0,0.0,0.0,0.0,0.0
2423,0.0,153.0,0.0,0.0,0.0,0.0
2425,0.0,294.0,0.0,0.0,22.0,0.0
2426,0.0,363.0,0.0,0.0,0.0,0.0
2427,0.0,109.0,0.0,0.0,0.0,0.0
2428,0.0,0.0,0.0,0.0,0.0,0.0
2429,0.0,247.0,0.0,0.0,0.0,0.0
2430,0.0,128.0,0.0,0.0,0.0,0.0
2431,539.0,195.0,0.0,0.0,0.0,0.0
2432,0.0,0.0,0.0,2067.0,0.0,0.0
2433,0.0,233.0,0.0,0.0,0.0,0.0
2434,0.0,264.0,0.0,872.0,0.0,0.0
2435,0.0,108.0,10458.0,471.0,0.0,0.0
2436,0.0,51.0,0.0,0.0,0.0,0.0
2437,0.0,244.0,0.0,0.0,0.0,0.0
2438,0.0,201.0,0.0,0.0,0.0,0.0
2439,0.0,234.0,0.0,1647.0,0.0,0.0
2440,0.0,112.0,0.0,0.0,0.0,0.0
2441,0.0,408.0,0.0,0.0,0.0,0.0
2442,0.0,401.0,0.0,0.0,0.0,0.0
2443,0.0,89.0,0.0,0.0,0.0,0.0
2444,0.0,209.0,0.0,0.0,0.0,0.0
2445,0.0,180.0,0.0,0.0,53.0,0.0
2446,0.0,427.0,0.0,0.0,421.0,0.0
2447,0.0,212.0,6035.0,0.0,0.0,0.0
2448,0.0,107.0,8988.0,0.0,0.0,0.0
2449,0.0,302.0,11844.0,2350.0,63.0,78.0
2450,0.0,160.0,0.0,2789.0,31.0,0.0
2451,0.0,97.0,0.0,0.0,0.0,0.0
2452,0.0,227.0,0.0,0.0,0.0,0.0
2453,0.0,112.0,0.0,0.0,0.0,0.0
2454,0.0,286.0,6462.0,1479.0,0.0,0.0
2455,0.0,96.0,0.0,0.0,0.0,0.0
2456,0.0,250.0,0.0,813.0,0.0,0.0
2457,0.0,183.0,0.0,0.0,0.0,437.0
2458,0.0,124.0,0.0,0.0,0.0,0.0
2459,0.0,140.0,0.0,0.0,0.0,0.0
2460,0.0,240.0,0.0,0.0,0.0,0.0
2461,0.0,218.0,198.0,367.0,0.0,0.0
2462,0.0,0.0,0.0,0.0,130.0,124.0
2463,240.0,199.0,0.0,508.0,0.0,0.0
2464,0.0,191.0,0.0,0.0,0.0,0.0
2465,0.0,0.0,0.0,0.0,0.0,0.0
2466,0.0,0.0,0.0,0.0,0.0,0.0
2467,0.0,96.0,0.0,0.0,0.0,0.0
2468,0.0,228.0,10264.0,915.0,0.0,0.0
2469,0.0,119.0,0.0,1355.0,98.0,0.0
2470,0.0,58.0,0.0,0.0,0.0,0.0
2471,0.0,383.0,0.0,0.0,0.0,0.0
2472,0.0,113.0,0.0,0.0,0.0,0.0
2473,0.0,0.0,0.0,0.0,0.0,0.0
2474,0.0,626.0,83.0,0.0,32.0,0.0
2475,0.0,0.0,45.0,0.0,0.0,0.0
2476,0.0,143.0,0.0,247.0,18.0,224.0
2477,0.0,104.0,0.0,0.0,0.0,0.0
2478,0.0,118.0,61.0,177.0,22.0,0.0
2479,0.0,122.0,0.0,0.0,0.0,0.0
2480,0.0,172.0,0.0,0.0,0.0,0.0
2481,0.0,125.0,0.0,0.0,0.0,0.0
2482,0.0,379.0,0.0,308.0,36.0,0.0
2483,0.0,97.0,0.0,0.0,0.0,0.0
2484,0.0,108.0,0.0,0.0,30.0,0.0
2485,0.0,133.0,0.0,862.0,0.0,0.0
2486,0.0,0.0,0.0,0.0,26.0,0.0
2487,0.0,0.0,0.0,0.0,45.0,0.0
2488,0.0,126.0,0.0,0.0,0.0,0.0
2489,0.0,0.0,0.0,0.0,0.0,0.0
2490,0.0,0.0,0.0,0.0,0.0,0.0
2491,0.0,0.0,0.0,0.0,0.0,0.0
2492,0.0,0.0,0.0,0.0,0.0,334.0
2493,0.0,113.0,0.0,0.0,0.0,0.0
2494,0.0,383.0,0.0,0.0,25.0,0.0
2495,0.0,0.0,0.0,0.0,0.0,0.0
2496,0.0,0.0,0.0,0.0,0.0,0.0
2497,0.0,0.0,0.0,0.0,0.0,0.0
2498,0.0,0.0,0.0,0.0,0.0,0.0
2499,0.0,0.0,0.0,0.0,0.0,0.0
