CD,ChickensBroilers,ChickensPullets,ChickensLayers,TurkeysMature,ChickensBroilers_AU,ChickensPullets_AU,ChickensLayers_AU,TurkeysMature_AU,PoultryAnimalUnits,ChickensBroilers_Manure_kgperyear,ChickensPullets_Manure_kgperyear,ChickensLayers_Manure_kgperyear,TurkeysMature_Manure_kgperyear,PoultryManure_kgperyear,ChickensBroilers_P_kgperyear,ChickensPullets_P_kgperyear,ChickensLayers_P_kgperyear,TurkeysMature_P_kgperyear,PoultryP_kgperyear,ChickensBroilers_Pinorg_kgperyear,ChickensPullets_Pinorg_kgperyear,ChickensLayers_Pinorg_kgperyear,TurkeysMature_Pinorg_kgperyear,PoultryPinorg_kgperyear,ChickensBroilers_Porg_kgperyear,ChickensPullets_Porg_kgperyear,ChickensLayers_Porg_kgperyear,TurkeysMature_Porg_kgperyear,PoultryPorg_kgperyear
2401,0.0,0.0,6500.0,0.0,0.0,0.0,26.0,0.0,26.0,0.0,0.0,270067.4859999998,0.0,270067.4859999998,0.0,0.0,1563.5486031578946,0.0,1563.5486031578946,0.0,0.0,891.2227037999999,0.0,891.2227037999999,0.0,0.0,672.3258993578946,0.0,672.3258993578946
2402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2407,33765.4,0.0,0.0,0.0,74.20967032967033,0.0,0.0,0.0,74.20967032967033,1007803.2850831656,0.0,0.0,0.0,1007803.2850831656,3206.646816173707,0.0,0.0,0.0,3206.646816173707,1827.788685219013,0.0,0.0,0.0,1827.788685219013,1378.858130954694,0.0,0.0,0.0,1378.858130954694
2408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2410,0.0,0.0,25296.0,0.0,0.0,0.0,101.184,0.0,101.184,0.0,0.0,1051019.557823999,0.0,1051019.557823999,0.0,0.0,6084.85007161263,0.0,6084.85007161263,0.0,0.0,3468.3645408191987,0.0,3468.3645408191987,0.0,0.0,2616.485530793431,0.0,2616.485530793431
2411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2412,0.0,0.0,30507.0,0.0,0.0,0.0,122.028,0.0,122.028,0.0,0.0,1267530.583907999,0.0,1267530.583907999,0.0,0.0,7338.334959467367,0.0,7338.334959467367,0.0,0.0,4182.850926896399,0.0,4182.850926896399,0.0,0.0,3155.484032570968,0.0,3155.484032570968
2413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2416,245406.56000000003,30911.440000000002,51586.0,0.0,539.355076923077,67.93723076923078,206.344,0.0,813.6363076923078,7324703.316085669,512772.39111679926,2143338.666583998,0.0,9980814.373786466,23305.874187545298,2968.6822643604187,12408.802806538944,0.0,38683.35925844466,13284.348286900818,1692.1488906854386,7073.017599727198,0.0,22049.514777313456,10021.525900644478,1276.53337367498,5335.785206811746,0.0,16633.844481131204
2417,561257.04,28204.36,0.0,0.0,1233.5319560439561,61.9876043956044,0.0,0.0,1295.5195604395606,16751961.732662838,467866.17243062786,0.0,0.0,17219827.905093465,53301.696422109,2708.698893019426,0.0,0.0,56010.39531512843,30381.966960602127,1543.9583690210727,0.0,0.0,31925.9253296232,22919.72946150687,1164.7405239983532,0.0,0.0,24084.469985505224
2418,23126.120000000003,0.0,0.0,0.0,50.82663736263737,0.0,0.0,0.0,50.82663736263737,690250.365973082,0.0,0.0,0.0,690250.365973082,2196.2511644598053,0.0,0.0,0.0,2196.2511644598053,1251.863163742089,0.0,0.0,0.0,1251.863163742089,944.3880007177163,0.0,0.0,0.0,944.3880007177163
2419,550657.2000000001,73153.04000000001,104751.0,34204.0,1210.2356043956045,160.7759120879121,419.004,684.08,2474.0955164835163,16435585.987866212,1213494.3968402268,4352282.957843997,5659723.292927993,27661086.63547843,52295.04632502883,7025.493876443423,25197.42765067578,23582.18038719999,108100.14823934801,29808.17640526643,4004.5315095727506,14362.533760885195,14149.308232319994,62324.54990804437,22486.869919762397,3020.9623668706718,10834.893889790586,9432.872154879997,45775.598331303656
2420,3425.1600000000003,0.0,0.0,25600.0,7.527824175824176,0.0,0.0,512.0,519.5278241758242,102231.500291288,0.0,0.0,4236022.579199995,4338254.079491283,325.2820463813707,0.0,0.0,17650.094079999995,17975.376126381365,185.41076643738128,0.0,0.0,10590.056447999998,10775.467214437378,139.8712799439894,0.0,0.0,7060.037631999999,7199.908911943988
2421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2422,128554.68000000001,0.0,0.0,136520.0,282.53775824175824,0.0,0.0,2730.4,3012.9377582417583,3836999.6747207236,0.0,0.0,22589914.16063997,26426913.835360695,12208.635328656843,0.0,0.0,94124.64233599996,106333.27766465681,6958.9221373344,0.0,0.0,56474.78540159998,63433.70753893437,5249.713191322442,0.0,0.0,37649.856934399984,42899.57012572243
2423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2426,1410426.76,80602.44,108078.0,20668.0,3099.839032967033,177.1482197802198,432.312,413.36,4122.659252747252,42097316.24968772,1337068.2792082264,4490515.961831996,3419926.3541759956,51344826.84490393,133946.00624900628,7740.921616468683,25997.72398955368,14249.693142399992,181934.34499742865,76349.22356193357,4412.325321387149,14818.702674045597,8549.815885439995,104130.0674428063,57596.7826870727,3328.5962950815338,11179.021315508082,5699.877256959997,77804.27755462231
2427,225923.2,0.0,0.0,0.0,496.53450549450554,0.0,0.0,0.0,496.53450549450554,6743179.205236754,0.0,0.0,0.0,6743179.205236754,21455.57019848057,0.0,0.0,0.0,21455.57019848057,12229.675013133925,0.0,0.0,0.0,12229.675013133925,9225.895185346646,0.0,0.0,0.0,9225.895185346646
2428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2429,224991.6,32295.24,96419.0,42000.0,494.487032967033,70.97854945054945,385.676,840.0,1791.1415824175824,6715373.536108489,535727.4664813706,4006097.9896359965,6949724.543999991,18206923.536225848,21367.097614890634,3101.580069102674,23193.198887366307,28957.185599999986,76619.0621713596,12179.245640487661,1767.900639388524,13220.123365798794,17374.311359999992,44541.581005674976,9187.851974402973,1333.6794297141498,9973.075521567513,11582.874239999996,32077.48116568463
2430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2432,0.0,37066.8,0.0,0.0,0.0,81.46549450549452,0.0,0.0,81.46549450549452,0.0,614880.1759817135,0.0,0.0,614880.1759817135,0.0,3559.83259778887,0.0,0.0,3559.83259778887,0.0,2029.1045807396556,0.0,0.0,2029.1045807396556,0.0,1530.728017049214,0.0,0.0,1530.728017049214
2433,187778.6,0.0,0.0,0.0,412.7002197802198,0.0,0.0,0.0,412.7002197802198,5604668.979141895,0.0,0.0,0.0,5604668.979141895,17833.03766090602,0.0,0.0,0.0,17833.03766090602,10164.83146671643,0.0,0.0,0.0,10164.83146671643,7668.206194189588,0.0,0.0,0.0,7668.206194189588
2434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2437,108336.24,0.0,0.0,0.0,238.10162637362637,0.0,0.0,0.0,238.10162637362637,3233535.470201989,0.0,0.0,0.0,3233535.470201989,10288.521950642687,0.0,0.0,0.0,10288.521950642687,5864.4575118663315,0.0,0.0,0.0,5864.4575118663315,4424.064438776356,0.0,0.0,0.0,4424.064438776356
2438,309599.92000000004,0.0,0.0,0.0,680.4393846153847,0.0,0.0,0.0,680.4393846153847,9240696.584002716,0.0,0.0,0.0,9240696.584002716,29402.216403644994,0.0,0.0,0.0,29402.216403644994,16759.263350077646,0.0,0.0,0.0,16759.263350077646,12642.953053567348,0.0,0.0,0.0,12642.953053567348
2439,320299.04000000004,292117.80000000005,0.0,8456.0,703.9539340659342,642.017142857143,0.0,169.12,1515.0910769230773,9560035.560691843,4845776.928987422,0.0,1399211.2081919983,15805023.697871264,30418.294965837664,28054.4980099272,0.0,5830.046700799999,64302.839676564865,17338.428130527467,15991.063865658503,0.0,3498.028020479999,36827.52001666597,13079.866835310195,12063.434144268696,0.0,2332.0186803199995,27475.319659898887
2440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2444,124283.6,0.0,0.0,0.0,273.15076923076924,0.0,0.0,0.0,273.15076923076924,3709519.815016619,0.0,0.0,0.0,3709519.815016619,11803.017593234692,0.0,0.0,0.0,11803.017593234692,6727.720028143774,0.0,0.0,0.0,6727.720028143774,5075.2975650909175,0.0,0.0,0.0,5075.2975650909175
2445,136884.68000000002,0.0,0.0,0.0,300.8454505494506,0.0,0.0,0.0,300.8454505494506,4085627.0081668794,0.0,0.0,0.0,4085627.0081668794,12999.722298712792,0.0,0.0,0.0,12999.722298712792,7409.841710266291,0.0,0.0,0.0,7409.841710266291,5589.8805884465,0.0,0.0,0.0,5589.8805884465
2446,664387.88,0.0,438316.0,70108.0,1460.193142857143,0.0,1753.264,1402.16,4615.617142857142,19830130.489597045,0.0,18211523.10670398,11600744.960255986,49642398.556557015,63095.86973962693,0.0,105435.1337756547,48336.43733439999,216867.44084968162,35964.64575158735,0.0,60098.02625212317,29001.862400639995,125064.53440435052,27131.22398803958,0.0,45337.10752353152,19334.574933759995,91802.9064453311
2447,1011309.6000000001,0.0,0.0,0.0,2222.658461538462,0.0,0.0,0.0,2222.658461538462,30184779.007982798,0.0,0.0,0.0,30184779.007982798,96042.4786617634,0.0,0.0,0.0,96042.4786617634,54744.21283720513,0.0,0.0,0.0,54744.21283720513,41298.26582455826,0.0,0.0,0.0,41298.26582455826
2448,0.0,52360.00000000001,96681.0,0.0,0.0,115.0769230769231,386.724,0.0,501.8009230769231,0.0,868570.4191999987,4016983.7867639964,0.0,4885554.205963995,0.0,5028.565584842101,23256.22192337052,0.0,28284.78750821262,0.0,2866.2823833599973,13256.046496321194,0.0,16122.328879681192,0.0,2162.2832014821033,10000.175427049322,0.0,12162.458628531425
