CD,ChickensBroilers,ChickensPullets,ChickensLayers,TurkeysMature
2401,0.0,0.0,6500.0,0.0
2402,0.0,0.0,0.0,0.0
2403,0.0,0.0,0.0,0.0
2404,0.0,0.0,0.0,0.0
2405,0.0,0.0,0.0,0.0
2406,0.0,0.0,0.0,0.0
2407,33765.4,0.0,0.0,0.0
2408,0.0,0.0,0.0,0.0
2409,0.0,0.0,0.0,0.0
2410,0.0,0.0,25296.0,0.0
2411,0.0,0.0,0.0,0.0
2412,0.0,0.0,30507.0,0.0
2413,0.0,0.0,0.0,0.0
2414,0.0,0.0,0.0,0.0
2415,0.0,0.0,0.0,0.0
2416,245406.56000000003,30911.440000000002,51586.0,0.0
2417,561257.04,28204.36,0.0,0.0
2418,23126.120000000003,0.0,0.0,0.0
2419,550657.2000000001,73153.04000000001,104751.0,34204.0
2420,3425.1600000000003,0.0,0.0,25600.0
2421,0.0,0.0,0.0,0.0
2422,128554.68000000001,0.0,0.0,136520.0
2423,0.0,0.0,0.0,0.0
2425,0.0,0.0,0.0,0.0
2426,1410426.76,80602.44,108078.0,20668.0
2427,225923.2,0.0,0.0,0.0
2428,0.0,0.0,0.0,0.0
2429,224991.6,32295.24,96419.0,42000.0
2430,0.0,0.0,0.0,0.0
2431,0.0,0.0,0.0,0.0
2432,0.0,37066.8,0.0,0.0
2433,187778.6,0.0,0.0,0.0
2434,0.0,0.0,0.0,0.0
2435,0.0,0.0,0.0,0.0
2436,0.0,0.0,0.0,0.0
2437,108336.24,0.0,0.0,0.0
2438,309599.92000000004,0.0,0.0,0.0
2439,320299.04000000004,292117.80000000005,0.0,8456.0
2440,0.0,0.0,0.0,0.0
2441,0.0,0.0,0.0,0.0
2442,0.0,0.0,0.0,0.0
2443,0.0,0.0,0.0,0.0
2444,124283.6,0.0,0.0,0.0
2445,136884.68000000002,0.0,0.0,0.0
2446,664387.88,0.0,438316.0,70108.0
2447,1011309.6000000001,0.0,0.0,0.0
2448,0.0,52360.00000000001,96681.0,0.0
2449,977046.4400000001,459014.96,411693.0,26777.600000000002
2450,446231.64,0.0,103772.0,7361.6
2451,1368101.52,98062.12000000001,0.0,26013.600000000002
2452,994219.8400000001,0.0,46643.0,34320.0
2453,100187.12000000001,0.0,0.0,0.0
2454,2692676.9200000004,511882.24000000005,637966.0,309304.8
2455,1035997.68,233577.96000000002,0.0,88460.8
2456,193179.16,0.0,0.0,0.0
2457,289816.68,0.0,0.0,0.0
2458,0.0,0.0,0.0,0.0
2459,0.0,0.0,0.0,0.0
2460,78054.48000000001,19446.640000000003,74510.0,0.0
2461,261211.80000000002,16339.720000000001,0.0,3060.0
2462,2939614.8400000003,188803.36000000002,0.0,80176.8
2463,600094.56,54941.280000000006,0.0,16824.8
2464,0.0,0.0,0.0,0.0
2465,0.0,0.0,0.0,0.0
2466,0.0,0.0,0.0,0.0
2467,0.0,0.0,0.0,0.0
2468,1244.4,0.0,0.0,0.0
2469,0.0,0.0,0.0,0.0
2470,0.0,0.0,0.0,0.0
2471,1912.16,0.0,413308.0,0.0
2472,0.0,0.0,0.0,0.0
2473,140252.04,0.0,0.0,0.0
2474,152993.2,0.0,0.0,2259.2000000000003
2475,298478.52,0.0,0.0,0.0
2476,0.0,22014.320000000003,27080.0,0.0
2477,0.0,0.0,0.0,0.0
2478,0.0,0.0,0.0,0.0
2479,28988.4,0.0,0.0,0.0
2480,0.0,0.0,0.0,0.0
2481,0.0,0.0,0.0,0.0
2482,0.0,0.0,0.0,0.0
2483,4267.68,0.0,0.0,0.0
2484,0.0,0.0,0.0,0.0
2485,0.0,0.0,0.0,0.0
2486,0.0,0.0,0.0,0.0
2487,0.0,0.0,0.0,0.0
2488,0.0,0.0,0.0,0.0
2489,0.0,26458.120000000003,107880.0,0.0
2490,0.0,0.0,0.0,0.0
2491,75994.08,0.0,0.0,0.0
2492,0.0,0.0,0.0,0.0
2493,237363.52000000002,21785.16,140552.0,0.0
2494,0.0,0.0,49704.0,0.0
2495,0.0,0.0,0.0,0.0
2496,0.0,0.0,0.0,0.0
2497,0.0,0.0,0.0,0.0
2498,0.0,0.0,0.0,0.0
2499,0.0,0.0,0.0,0.0
