DGUID,Ewes,"Lambs, market","Lambs, replacement","Lambs, total",Rams,Total sheep,CD
2021A00032401,,,,,,,2401
2021A00032402,,,,,,,2402
2021A00032403,0.0,0.0,0.0,0.0,0.0,0.0,2403
2021A00032404,,,,,,,2404
2021A00032405,1845.0,1671.0,256.0,1927.0,51.0,3823.0,2405
2021A00032406,1310.0,880.0,265.0,1145.0,44.0,2499.0,2406
2021A00032407,,,,,,1685.0,2407
2021A00032408,2850.0,2262.0,498.0,2760.0,107.0,5717.0,2408
2021A00032409,10474.0,7160.0,1628.0,8788.0,523.0,19785.0,2409
2021A00032410,5055.0,4919.0,667.0,5586.0,225.0,10866.0,2410
2021A00032411,2460.0,1859.0,244.0,2103.0,75.0,4639.0,2411
2021A00032412,5972.0,4490.0,623.0,5113.0,264.0,11349.0,2412
2021A00032413,2264.0,1898.0,,2210.0,,4528.0,2413
2021A00032414,2480.0,1416.0,644.0,2060.0,113.0,4653.0,2414
2021A00032415,0.0,0.0,0.0,0.0,0.0,0.0,2415
2021A00032416,1592.0,964.0,346.0,1310.0,77.0,2979.0,2416
2021A00032417,1052.0,814.0,,981.0,59.0,2092.0,2417
2021A00032418,,,,,,,2418
2021A00032419,,638.0,,876.0,40.0,1765.0,2419
2021A00032420,0.0,0.0,0.0,0.0,0.0,0.0,2420
2021A00032421,,,,,,,2421
2021A00032422,,,,,,,2422
2021A00032423,,,,,,,2423
2021A00032425,,,,,,1016.0,2425
2021A00032426,3568.0,1647.0,430.0,2077.0,105.0,5750.0,2426
2021A00032427,959.0,,,726.0,44.0,1729.0,2427
2021A00032428,,,,,,907.0,2428
2021A00032429,1081.0,1257.0,,1276.0,41.0,2398.0,2429
2021A00032430,,,,,,,2430
2021A00032431,,,,,,1263.0,2431
2021A00032432,3036.0,1468.0,622.0,2090.0,172.0,5298.0,2432
2021A00032433,3020.0,1430.0,796.0,2226.0,105.0,5350.0,2433
2021A00032434,,,,,,,2434
2021A00032435,,,,,,,2435
2021A00032436,0.0,,,,,,2436
2021A00032437,,,,,,,2437
2021A00032438,2074.0,1014.0,257.0,1271.0,87.0,3432.0,2438
2021A00032439,5338.0,3436.0,833.0,4269.0,226.0,9833.0,2439
2021A00032440,2585.0,1349.0,415.0,1764.0,132.0,4481.0,2440
2021A00032441,4025.0,3230.0,854.0,4084.0,92.0,8201.0,2441
2021A00032442,6337.0,3500.0,1002.0,4502.0,203.0,11042.0,2442
2021A00032443,,,,,,,2443
2021A00032444,,,323.0,1149.0,62.0,2581.0,2444
2021A00032445,,,,,,,2445
2021A00032446,1626.0,1008.0,370.0,1378.0,,3067.0,2446
2021A00032447,1389.0,915.0,373.0,1288.0,82.0,2759.0,2447
2021A00032448,1329.0,872.0,245.0,1117.0,39.0,2485.0,2448
2021A00032449,2560.0,1598.0,438.0,2036.0,114.0,4710.0,2449
2021A00032450,,,,,,1375.0,2450
2021A00032451,2147.0,1455.0,,1579.0,101.0,3827.0,2451
2021A00032452,1622.0,1652.0,,1855.0,,3530.0,2452
2021A00032453,433.0,237.0,,322.0,,764.0,2453
2021A00032454,5063.0,2312.0,1170.0,3482.0,225.0,8770.0,2454
2021A00032455,,,,,,,2455
2021A00032456,634.0,2077.0,,2209.0,61.0,2904.0,2456
2021A00032457,995.0,1301.0,284.0,1585.0,40.0,2620.0,2457
2021A00032458,0.0,0.0,0.0,0.0,0.0,0.0,2458
2021A00032459,0.0,0.0,0.0,0.0,0.0,0.0,2459
2021A00032460,397.0,,,360.0,17.0,775.0,2460
2021A00032461,,,,,,,2461
2021A00032462,,,,,,,2462
2021A00032463,,,,,,,2463
2021A00032464,,456.0,100.0,556.0,15.0,780.0,2464
2021A00032465,,,,,,,2465
2021A00032466,,,0.0,,,,2466
2021A00032467,,,0.0,,,,2467
2021A00032468,,,,,22.0,711.0,2468
2021A00032469,2299.0,2238.0,416.0,2654.0,94.0,5047.0,2469
2021A00032470,330.0,353.0,,359.0,,697.0,2470
2021A00032471,,,,,,,2471
2021A00032472,,,,,,,2472
2021A00032473,,468.0,,476.0,,,2473
2021A00032474,,746.0,,781.0,,1027.0,2474
2021A00032475,0.0,0.0,0.0,0.0,0.0,0.0,2475
2021A00032476,,,,,,,2476
2021A00032477,0.0,0.0,0.0,0.0,0.0,0.0,2477
2021A00032478,,,,,15.0,445.0,2478
2021A00032479,1364.0,764.0,241.0,1005.0,58.0,2427.0,2479
2021A00032480,1462.0,845.0,176.0,1021.0,49.0,2532.0,2480
2021A00032481,,,,,,,2481
2021A00032482,2042.0,2922.0,395.0,3317.0,79.0,5438.0,2482
2021A00032483,625.0,,,,,977.0,2483
2021A00032484,1109.0,758.0,211.0,969.0,67.0,2145.0,2484
2021A00032485,881.0,394.0,138.0,532.0,25.0,1437.0,2485
2021A00032486,,,,,,,2486
2021A00032487,1192.0,1302.0,272.0,1574.0,64.0,2830.0,2487
2021A00032488,,,,,0.0,,2488
2021A00032489,,,0.0,,,,2489
2021A00032490,,,,,,,2490
2021A00032491,,,,,,,2491
2021A00032492,1046.0,821.0,,926.0,47.0,2019.0,2492
2021A00032493,1803.0,1775.0,214.0,1989.0,65.0,3857.0,2493
2021A00032494,738.0,,118.0,618.0,28.0,1384.0,2494
2021A00032495,,,,,,,2495
2021A00032496,,0.0,0.0,0.0,0.0,,2496
2021A00032497,,,,,12.0,446.0,2497
2021A00032498,0.0,0.0,0.0,0.0,0.0,0.0,2498
2021A00032499,0.0,0.0,0.0,0.0,0.0,0.0,2499
