CD,SwineInmature,SwineMature
2401,0.0,0.0
2402,0.0,0.0
2403,0.0,0.0
2404,0.0,0.0
2405,0.0,0.0
2406,0.0,0.0
2407,0.0,0.0
2408,0.0,1006.0
2409,5300.0,3544.0
2410,18164.0,4852.0
2411,8346.0,2345.0
2412,28807.0,0.0
2413,0.0,0.0
2414,20575.0,3384.0
2415,21162.0,2554.0
2416,26964.0,3171.0
2417,0.0,0.0
2418,15780.0,4915.0
2419,199710.0,25259.0
2420,0.0,0.0
2421,0.0,0.0
2422,0.0,0.0
2423,0.0,0.0
2425,0.0,0.0
2426,278469.0,22660.0
2427,171619.0,6075.0
2428,26217.0,3532.0
2429,29079.0,0.0
2430,28701.0,0.0
2431,81792.0,12675.0
2432,102559.0,9953.0
2433,176125.0,16443.0
2434,11399.0,2247.0
2435,3915.0,0.0
2436,0.0,0.0
2437,23901.0,2535.0
2438,51075.0,11109.0
2439,93868.0,0.0
2440,42448.0,10867.0
2441,26592.0,5540.0
2442,63649.0,9260.0
2443,0.0,0.0
2444,88585.0,8269.0
2445,0.0,0.0
2446,180677.0,9697.0
2447,99904.0,2628.0
2448,197506.0,5302.0
2449,367078.0,34696.0
2450,135128.0,4562.0
2451,69359.0,6898.0
2452,66098.0,3574.0
2453,55071.0,5142.0
2454,503005.0,15623.0
2455,169096.0,10683.0
2456,132810.0,4057.0
2457,23804.0,0.0
2458,0.0,0.0
2459,0.0,0.0
2460,7194.0,0.0
2461,16098.0,2768.0
2462,0.0,0.0
2463,82012.0,5797.0
2464,0.0,0.0
2465,0.0,0.0
2466,0.0,0.0
2467,0.0,0.0
2468,0.0,0.0
2469,13149.0,27.0
2470,0.0,0.0
2471,0.0,0.0
2472,0.0,0.0
2473,3069.0,0.0
2474,12507.0,1816.0
2475,0.0,0.0
2476,0.0,0.0
2477,0.0,0.0
2478,0.0,0.0
2479,0.0,0.0
2480,0.0,29.0
2481,0.0,0.0
2482,0.0,0.0
2483,0.0,0.0
2484,0.0,0.0
2485,15026.0,8843.0
2486,0.0,0.0
2487,0.0,0.0
2488,0.0,0.0
2489,0.0,0.0
2490,0.0,0.0
2491,0.0,0.0
2492,0.0,23.0
2493,0.0,4653.0
2494,0.0,0.0
2495,0.0,0.0
2496,0.0,0.0
2497,0.0,0.0
2498,0.0,0.0
2499,0.0,0.0
